,Id,gender,age,nationality,sport,ind-university_grade,ind-debateclub,ind-programming_exp,ind-international_exp,ind-entrepeneur_exp,ind-languages,ind-exact_study,ind-degree,company,decision,probability
332,x7645b,female,26,Dutch,Tennis,63,True,False,True,True,2,False,master,A,True,0.994229255370565
2401,x7087d,female,22,Dutch,Swimming,64,False,False,False,False,0,True,master,C,False,0.021839541794083712
3031,x6403b,male,25,Dutch,Swimming,76,True,True,False,True,2,True,master,D,True,0.9818843268531392
1515,x9433f,female,32,Dutch,Golf,67,False,False,True,False,1,True,master,B,False,0.002543598448503966
3706,x1911c,male,29,Dutch,Rugby,61,False,False,False,False,2,False,bachelor,D,False,0.030442723736392934
3152,x4433a,male,29,Dutch,Rugby,67,True,False,False,True,3,False,master,D,True,0.3408725615567427
3724,x9033b,other,25,Dutch,Swimming,61,False,False,True,True,2,False,master,D,False,0.16670057671709973
1483,x4329g,female,27,Dutch,Cricket,61,False,False,False,False,1,True,bachelor,B,False,0.005013911869445201
1919,x9081f,female,23,Dutch,Tennis,64,True,False,False,True,2,False,bachelor,B,True,0.6399457894128154
551,x3032c,male,27,Dutch,Rugby,58,False,False,False,False,2,False,master,A,True,0.9379976426797388
687,x9775d,female,29,Dutch,Golf,62,False,False,False,False,1,False,master,A,False,0.5980323500690538
1807,x6808d,female,28,Belgian,Swimming,68,False,True,False,False,1,True,bachelor,B,False,0.004428420823329935
1188,x2408b,male,26,Belgian,Cricket,64,False,False,False,False,0,False,master,B,False,0.00019526922203793668
2746,x2930b,female,27,Dutch,Swimming,60,False,False,False,False,1,True,bachelor,C,False,0.03663686289679453
3258,x4252c,female,28,Dutch,Chess,69,False,True,False,False,0,True,master,D,False,0.23804156056578216
3633,x4147e,male,30,Dutch,Football,67,True,False,False,True,3,False,master,D,True,0.31256347470280316
1516,x2463e,male,28,Dutch,Football,63,True,False,True,True,2,False,phd,B,True,0.8417790892496333
1107,x7186f,male,21,Belgian,Football,59,False,False,False,False,1,False,bachelor,B,False,0.02099375614867931
3285,x3084c,female,22,Dutch,Chess,72,False,True,True,False,1,True,master,D,True,0.984075988881839
413,x3936e,male,25,Dutch,Rugby,53,True,False,False,True,2,False,bachelor,A,False,0.16146958211369256
3564,x3296b,female,21,Dutch,Running,70,False,True,False,False,2,True,master,D,True,0.8956346168494542
2699,x3236a,male,32,Dutch,Swimming,60,False,False,True,False,0,False,master,C,False,0.16627111654962323
3652,x7829a,female,22,Dutch,Chess,57,False,False,False,False,0,False,bachelor,D,False,0.0027514101500004575
3336,x7164g,female,29,German,Football,65,False,False,True,False,1,True,master,D,True,0.6170631883841338
669,x6976e,female,27,Dutch,Chess,64,False,True,False,False,1,True,master,A,True,0.38101381880002294
610,x3149b,male,25,Belgian,Tennis,49,False,False,False,False,2,False,bachelor,A,False,0.051453404735336376
1295,x5704c,female,26,Dutch,Swimming,60,False,True,False,False,0,False,bachelor,B,False,0.00011147141800248988
3829,x5002f,female,21,Dutch,Tennis,73,False,True,False,False,2,True,bachelor,D,True,0.47946845293453616
1925,x1455e,male,29,Dutch,Golf,58,True,False,True,False,2,False,master,B,False,0.6165920858997049
3144,x3486f,female,23,Dutch,Tennis,69,False,True,False,False,2,True,bachelor,D,False,0.4613826360127978
3862,x9935b,male,30,Belgian,Rugby,62,False,False,True,False,1,False,master,D,False,0.01616910521272143
174,x2452f,female,24,Dutch,Swimming,62,False,False,False,False,1,True,bachelor,A,True,0.2558946971284872
1802,x7595b,female,23,Dutch,Cricket,60,False,False,True,False,1,False,bachelor,B,False,0.019080684487734527
2863,x8804g,male,32,Dutch,Rugby,65,False,False,True,False,0,True,bachelor,C,False,0.08449375323449078
1184,x2253g,male,24,Dutch,Tennis,69,True,False,False,True,2,True,bachelor,B,False,0.43624021890131515
80,x5817b,female,27,Dutch,Football,61,False,False,False,True,2,False,bachelor,A,False,0.7329304533261263
3975,x8450a,female,26,Dutch,Cricket,66,False,True,True,False,1,False,phd,D,True,0.5526712327026219
845,x1173d,female,21,Dutch,Running,60,False,True,False,False,1,False,bachelor,A,False,0.14277835336595973
1631,x1203f,male,26,Dutch,Football,51,True,False,True,False,2,False,master,B,True,0.6996778892350558
2684,x3708d,male,30,Belgian,Football,58,False,False,False,False,1,False,bachelor,C,False,0.16103871814512882
309,x9976d,male,22,Dutch,Golf,63,False,True,False,False,1,True,bachelor,A,False,0.05177563813742596
2352,x9618g,female,23,Dutch,Tennis,66,False,True,False,False,1,True,master,C,True,0.017963674953633
1369,x4265e,female,27,Dutch,Football,56,False,False,False,False,3,False,bachelor,B,False,0.9670175904133531
3160,x8801a,male,25,Dutch,Rugby,59,True,False,False,True,2,False,master,D,False,0.07972796718727351
3553,x7420f,female,24,Dutch,Swimming,63,False,False,False,False,0,True,bachelor,D,False,0.08842722590974791
1622,x3127e,male,25,Dutch,Football,66,True,False,False,True,3,False,master,B,True,0.9936714156175802
1993,x6998c,male,25,Dutch,Tennis,60,True,False,False,True,2,False,bachelor,B,True,0.6261807291232971
3826,x2741b,male,28,Dutch,Swimming,63,False,True,False,False,1,True,bachelor,D,False,0.2910281109856356
444,x5306e,male,29,Dutch,Rugby,62,True,False,True,True,3,False,bachelor,A,True,0.8417365365811811
3430,x4886e,male,25,Dutch,Tennis,62,False,False,False,False,2,False,master,D,False,0.23473781828812498
2242,x1617f,female,27,Dutch,Tennis,64,True,False,False,False,2,False,bachelor,C,False,0.1861105055963639
1280,x8600d,male,24,Dutch,Rugby,56,False,False,False,False,2,False,bachelor,B,False,0.7255993117195709
2078,x5061f,male,25,Dutch,Rugby,49,False,False,False,False,2,False,bachelor,C,False,0.012062373848636839
1761,x4361g,female,28,Dutch,Cricket,66,False,False,False,False,1,True,bachelor,B,False,0.006649347263716569
1936,x4370f,male,21,Dutch,Tennis,67,False,True,False,True,1,True,master,B,True,0.04469016191958798
2707,x6053g,male,31,Dutch,Golf,53,False,False,False,False,0,False,bachelor,C,False,0.0054971380147555305
1047,x3913a,male,32,Dutch,Cricket,56,False,False,False,False,0,False,bachelor,B,False,0.00012614481175153694
1705,x4337g,male,30,Dutch,Football,56,False,False,True,True,3,False,master,B,True,0.9841793966834546
3718,x5858e,female,27,Dutch,Chess,59,False,False,False,False,2,False,bachelor,D,False,0.021367749771429467
2906,x8423g,female,32,Dutch,Golf,55,False,False,True,False,1,False,master,C,True,0.7349655649802932
917,x3241e,female,25,Dutch,Chess,57,False,False,False,False,0,False,bachelor,A,False,0.013440247890585776
631,x5155f,male,27,Dutch,Football,66,True,False,False,False,3,False,phd,A,True,0.9952530006444296
2147,x7255f,female,27,Dutch,Football,63,False,False,False,False,1,True,bachelor,C,False,0.025505492383509486
1651,x7776b,male,28,Belgian,Cricket,62,False,False,False,False,2,True,bachelor,B,False,0.36987129286471226
231,x8535f,male,24,Dutch,Rugby,56,False,False,False,False,1,False,master,A,True,0.7874285235182261
2461,x9325d,female,26,Dutch,Football,58,True,False,False,False,2,False,bachelor,C,False,0.14932376519460733
3501,x1445a,female,28,Dutch,Chess,66,False,True,False,False,1,True,bachelor,D,False,0.6041393731359939
3684,x9083c,male,31,Dutch,Golf,64,False,False,False,False,0,True,master,D,False,0.17736247164549027
3886,x2888f,male,25,Dutch,Cricket,66,False,True,False,False,1,True,bachelor,D,False,0.5047292471062825
1857,x2253c,female,26,Dutch,Golf,64,False,False,False,False,1,False,master,B,False,0.00818917041311378
139,x4509b,male,26,Dutch,Golf,60,False,False,False,False,0,True,master,A,False,0.008204975478729008
2233,x6515c,female,21,Dutch,Running,66,False,True,True,False,1,True,master,C,True,0.28792188726310186
2620,x5704e,male,25,Dutch,Football,61,False,False,False,True,2,False,bachelor,C,True,0.07404293210162603
3561,x9123g,male,28,Dutch,Cricket,61,False,False,False,False,1,False,bachelor,D,False,0.012380355394227499
3631,x5381c,female,25,Dutch,Tennis,71,False,True,False,True,2,True,bachelor,D,False,0.3888859745040363
3934,x1339d,female,21,Dutch,Football,61,False,False,False,False,1,True,bachelor,D,False,0.16796794159482833
536,x6847f,male,27,Dutch,Golf,66,False,True,True,False,1,True,master,A,True,0.4701897382100431
3222,x7002g,female,23,Dutch,Golf,67,False,True,False,False,1,True,bachelor,D,False,0.34794726379164176
2801,x6010f,female,30,Dutch,Swimming,51,True,False,False,False,1,False,bachelor,C,False,0.0864516967255729
28,x4499e,male,30,Dutch,Cricket,56,False,False,True,False,0,False,master,A,False,0.02309266035622835
1883,x2183d,male,31,Dutch,Football,71,True,False,True,False,1,True,phd,B,True,0.023081215474530594
2185,x9179c,male,32,Dutch,Golf,59,False,False,False,False,1,False,bachelor,C,True,0.2434547763262535
1491,x8526g,male,25,Belgian,Tennis,62,False,True,False,False,1,True,bachelor,B,False,0.009023721017363715
1463,x7350g,female,25,Dutch,Swimming,60,False,False,True,False,0,False,bachelor,B,False,0.00017142224358438306
2757,x6303e,male,31,Dutch,Cricket,65,False,False,True,False,0,True,master,C,False,0.09725309482330502
2297,x7410c,male,25,Dutch,Football,59,False,False,False,False,1,True,bachelor,C,False,0.009756444180362025
435,x4204c,male,26,Dutch,Tennis,58,True,False,False,False,2,False,bachelor,A,False,0.49425520050604405
886,x9772b,male,24,Dutch,Football,67,True,False,False,True,2,True,bachelor,A,False,0.34075496805140487
3638,x9448e,female,28,Dutch,Chess,69,False,True,False,False,1,True,bachelor,D,True,0.8213979625612801
3332,x7585f,female,27,Dutch,Chess,73,False,True,True,False,1,True,phd,D,True,0.9634981652430686
3071,x3570c,female,26,German,Tennis,68,False,True,False,False,1,True,bachelor,D,False,0.1803647547343377
1764,x4286b,male,27,Dutch,Football,58,False,False,True,False,2,False,master,B,False,0.528111060337402
3314,x2343b,male,29,Dutch,Rugby,66,False,True,True,False,0,True,master,D,False,0.3213115923498746
1963,x4018b,male,25,Dutch,Football,67,True,False,False,True,3,True,bachelor,B,True,0.8293064921311709
2488,x7606e,female,27,Dutch,Rugby,64,False,True,True,True,2,False,master,C,True,0.9471969752792698
362,x1760d,female,24,Dutch,Chess,64,False,False,True,False,1,True,master,A,True,0.5593954574070878
2507,x1600c,female,31,Belgian,Golf,56,False,False,False,False,1,False,master,C,True,0.47255431350281973
1358,x7387f,male,29,Belgian,Rugby,69,False,False,True,False,1,True,master,B,False,0.012846727588338774
3348,x9028c,male,28,Dutch,Chess,69,False,True,False,False,0,True,phd,D,False,0.3259892496048215
1949,x2656e,female,26,Dutch,Football,67,False,True,False,False,2,True,bachelor,B,True,0.29823059611178204
1264,x6291b,female,25,Dutch,Cricket,60,False,False,False,True,2,False,bachelor,B,True,0.6910946876309405
1617,x6721g,female,21,Dutch,Cricket,66,False,True,False,False,1,True,master,B,False,0.005645101752711181
3418,x9664c,female,28,Dutch,Swimming,69,False,True,True,False,0,True,phd,D,False,0.27583126727620855
3609,x6038e,male,27,Dutch,Rugby,64,True,True,True,False,2,False,master,D,False,0.5879106274953478
779,x1687e,male,29,Dutch,Rugby,49,False,False,False,False,2,False,bachelor,A,False,0.08361516680385708
576,x9718b,female,25,Dutch,Football,49,False,False,False,False,2,False,bachelor,A,False,0.0814508334583484
789,x5573d,male,21,Dutch,Tennis,65,True,False,False,False,2,True,bachelor,A,False,0.2051586989913035
150,x8983a,female,24,Dutch,Football,64,False,False,False,False,2,True,bachelor,A,True,0.5007466301794249
2426,x7055c,male,30,Dutch,Rugby,57,False,False,False,False,1,False,bachelor,C,False,0.2715048198488758
937,x7493e,male,27,Belgian,Golf,68,False,True,False,False,1,True,bachelor,A,False,0.18038666560179636
3517,x3571d,female,25,Dutch,Chess,57,False,False,False,False,1,False,bachelor,D,False,0.00545267178794895
452,x3518d,male,29,Dutch,Golf,59,False,False,True,False,1,False,phd,A,True,0.574786958308589
3278,x4446c,male,24,Dutch,Cricket,64,False,True,False,False,1,True,bachelor,D,False,0.3318493738706582
2715,x7848e,female,23,Dutch,Swimming,62,False,False,False,False,0,True,master,C,False,0.016819818250865537
743,x3205b,male,27,Dutch,Football,67,False,True,False,False,1,True,master,A,False,0.43609029282132095
56,x5134e,male,28,Dutch,Football,62,True,False,False,True,2,False,master,A,True,0.9724922813900985
3264,x8883f,female,26,Dutch,Running,55,False,False,False,False,0,False,bachelor,D,False,0.0004608310435315595
2967,x7848a,female,27,Dutch,Football,62,False,False,False,True,2,False,bachelor,C,False,0.12479456312739227
2125,x6521e,male,27,Dutch,Football,56,False,False,False,False,1,False,bachelor,C,True,0.05619575270328108
2751,x8550d,male,27,Dutch,Rugby,59,True,False,True,False,2,False,phd,C,True,0.9769625642736055
2456,x3571e,male,26,Dutch,Rugby,58,False,False,False,False,2,False,bachelor,C,False,0.20213345887675055
1841,x2513e,male,24,Dutch,Football,55,True,False,False,True,3,False,master,B,True,0.9777112691092184
2029,x2453c,male,26,Belgian,Rugby,65,True,False,False,True,3,False,master,C,True,0.8237051296640151
1466,x4943e,female,25,Dutch,Golf,67,True,True,False,False,2,True,bachelor,B,True,0.4324305046351184
3184,x4440f,male,29,Dutch,Rugby,54,True,False,False,True,2,False,bachelor,D,False,0.0021950886217913554
2241,x9507a,male,26,Dutch,Golf,64,False,False,True,False,1,False,master,C,True,0.9331004155717876
117,x1831a,female,26,Dutch,Cricket,53,False,False,True,False,0,False,bachelor,A,False,0.0259916399573012
1918,x2044a,male,28,Dutch,Running,67,False,True,False,False,1,True,master,B,False,0.0033291283987950853
3968,x4059d,male,30,Dutch,Football,51,True,False,False,True,2,False,bachelor,D,False,0.0007170104993153824
3053,x8537d,male,32,Dutch,Rugby,55,False,False,False,False,0,False,bachelor,D,False,0.00023683547455473935
3670,x3956d,female,32,Dutch,Golf,61,False,False,True,False,1,False,phd,D,False,0.04562982828376379
190,x6099a,female,25,Dutch,Swimming,70,False,True,True,False,1,True,master,A,True,0.5934173087266064
269,x3538b,male,27,Belgian,Tennis,74,False,True,False,False,2,True,bachelor,A,False,0.531241491776836
1736,x5011f,female,29,Dutch,Cricket,57,False,False,True,False,0,False,master,B,False,8.770854286571116e-05
370,x2323d,female,24,German,Running,64,False,True,False,False,1,True,bachelor,A,False,0.042509049279572414
316,x3421b,female,24,Dutch,Tennis,60,False,False,False,True,1,False,bachelor,A,False,0.15642313474926334
1297,x4460f,female,28,Dutch,Running,71,False,True,False,False,1,True,bachelor,B,False,0.003977456018927522
2411,x7152a,female,30,German,Football,56,True,False,True,False,2,False,master,C,True,0.7636219645077542
66,x4098d,male,21,Dutch,Swimming,63,False,True,False,False,1,True,bachelor,A,False,0.07541609294401197
530,x6738g,female,26,Dutch,Football,60,True,False,False,False,2,False,bachelor,A,True,0.7134296085896049
2588,x3722g,male,27,Dutch,Football,54,False,False,True,False,1,False,master,C,False,0.7917342020496483
130,x1248d,male,29,Dutch,Cricket,65,False,True,False,False,1,False,master,A,False,0.7827848083940453
2845,x8280f,male,28,German,Tennis,61,True,False,False,True,2,False,bachelor,C,False,0.030577841864096917
1977,x8135a,male,27,German,Cricket,59,False,False,True,False,1,False,bachelor,B,False,0.019990867911054533
1889,x6037b,male,28,Dutch,Football,64,False,False,False,False,1,True,master,B,False,0.005831862679012329
967,x4901f,male,29,German,Cricket,64,False,True,False,False,0,True,master,A,False,0.010368530981808975
2584,x5040d,male,27,German,Tennis,58,False,False,False,True,2,False,bachelor,C,False,0.017439549678022224
2487,x7634b,male,31,Dutch,Golf,59,False,False,False,False,1,False,bachelor,C,False,0.20371016597319358
3247,x6484c,male,32,Dutch,Swimming,62,False,False,True,False,1,False,phd,D,False,0.04190052661035983
1292,x7335b,female,21,Dutch,Cricket,75,True,True,False,False,2,True,master,B,True,0.7483715631262936
718,x5698b,female,27,Dutch,Swimming,58,False,False,False,False,0,True,bachelor,A,False,0.0037171779590903647
1244,x9971a,female,27,Belgian,Swimming,67,False,False,False,False,0,True,master,B,False,4.702007031634947e-05
71,x7767d,male,23,Belgian,Tennis,67,False,True,False,False,1,True,bachelor,A,False,0.055517976944749144
1012,x9400d,male,23,Dutch,Tennis,67,False,False,False,True,2,True,bachelor,B,False,0.33213076669688674
1399,x8142b,female,25,Dutch,Chess,58,False,False,False,False,0,False,bachelor,B,False,0.0001277337658486405
616,x7849f,female,22,Dutch,Chess,61,False,False,False,False,2,False,bachelor,A,True,0.8294405669496937
3087,x4503e,female,27,Dutch,Cricket,65,False,True,False,False,1,True,bachelor,D,True,0.5479195597892238
1521,x5291f,female,22,Dutch,Cricket,70,False,True,False,False,2,True,bachelor,B,False,0.4688736886026591
1064,x7942f,female,30,Dutch,Tennis,55,True,False,False,True,3,False,bachelor,B,True,0.8905719747941743
344,x5357d,female,21,Dutch,Running,73,False,True,True,False,1,True,master,A,False,0.582548462155627
1638,x2813f,male,30,German,Rugby,67,False,True,False,False,0,True,phd,B,False,8.308528375444482e-05
652,x9041d,female,26,Belgian,Running,60,False,False,False,False,2,False,bachelor,A,True,0.6896334211255344
2694,x7524e,male,26,Dutch,Swimming,62,False,False,False,False,1,True,bachelor,C,False,0.03842996816441531
3603,x1535f,male,25,Dutch,Swimming,55,False,False,False,False,1,False,master,D,False,0.0066983844885289655
3432,x2663d,female,30,Dutch,Cricket,55,False,False,True,False,0,False,master,D,False,0.0005058181876788529
3555,x7921b,male,26,Dutch,Football,57,False,False,False,False,1,False,bachelor,D,False,0.006497925645894527
3262,x5129b,male,25,German,Tennis,56,True,False,False,True,2,False,bachelor,D,False,0.002280933418479181
3755,x9117b,male,21,Dutch,Running,73,False,True,True,False,1,True,master,D,True,0.9832292175960609
1398,x8742f,male,30,Dutch,Football,51,False,False,False,False,2,False,bachelor,B,False,0.36328430322277233
1225,x4205f,male,26,Dutch,Tennis,73,False,True,False,False,1,True,master,B,False,0.033439387322479364
496,x4146f,male,31,Dutch,Rugby,68,False,True,False,False,1,True,master,A,False,0.6880562585794366
1039,x1898c,male,24,Dutch,Football,62,True,False,True,True,2,False,master,B,True,0.899958206715168
2677,x1499a,male,24,Belgian,Tennis,62,True,False,False,False,3,False,bachelor,C,False,0.12981323532212002
3227,x5450e,male,25,Dutch,Football,70,False,True,False,False,1,True,bachelor,D,False,0.5252956209662161
2425,x8996d,male,28,Dutch,Rugby,52,False,False,False,True,2,False,bachelor,C,False,0.03817051133208788
98,x1198b,female,26,Dutch,Chess,69,False,False,False,False,1,True,master,A,True,0.5944905924460864
3781,x2944c,female,22,Dutch,Swimming,60,False,False,False,False,0,True,bachelor,D,False,0.05752116439257222
3871,x3132c,female,28,Dutch,Swimming,61,False,False,False,False,1,False,bachelor,D,False,0.018334234833113146
1446,x8381e,male,24,Belgian,Golf,66,True,True,False,False,2,True,bachelor,B,False,0.42131571570867377
828,x3130a,male,24,Belgian,Cricket,60,False,False,False,False,1,False,bachelor,A,True,0.5794543002190249
3103,x1855f,female,22,Dutch,Tennis,61,False,False,False,False,2,False,bachelor,D,False,0.02797519302589951
2617,x7659g,female,23,German,Swimming,67,False,False,False,False,0,True,master,C,False,0.02222279807818568
642,x4573f,male,27,Dutch,Football,52,False,False,False,False,2,False,bachelor,A,False,0.1538948505407098
3893,x1297e,female,21,Dutch,Tennis,73,True,True,False,True,2,True,bachelor,D,True,0.23920583651766622
1671,x8984c,female,24,Dutch,Chess,57,False,False,False,False,0,True,bachelor,B,False,4.225959157085536e-05
3271,x1822c,male,24,Belgian,Football,49,True,False,True,False,2,False,master,D,False,0.0021418060518130595
1956,x8756c,male,30,Dutch,Football,57,False,False,False,True,2,False,bachelor,B,True,0.5523281761323432
1920,x4669c,male,28,Dutch,Football,60,False,False,False,True,2,False,bachelor,B,True,0.6457413029218284
977,x7039a,male,27,Dutch,Football,72,False,True,False,False,1,True,bachelor,A,False,0.3304479706486144
1823,x6371c,female,32,Dutch,Rugby,62,False,True,False,False,0,False,bachelor,B,False,0.00016182547709942463
1223,x7248f,female,25,Dutch,Tennis,72,False,True,False,False,1,True,phd,B,False,0.02058334331283242
2420,x7732c,female,23,Dutch,Tennis,57,False,False,False,False,1,False,bachelor,C,False,0.01235209308040903
974,x4766d,female,27,Dutch,Golf,53,False,False,True,False,0,False,master,A,False,0.010399912547280067
1689,x6417b,female,23,German,Swimming,67,False,True,True,False,1,True,master,B,False,0.0051808960650127
679,x4161b,male,30,Dutch,Rugby,67,False,True,False,False,0,True,phd,A,False,0.02092907274881627
699,x9849f,female,23,Dutch,Football,64,True,False,False,True,2,True,bachelor,A,False,0.21394405783848966
160,x9625e,female,27,Dutch,Chess,66,False,True,False,False,0,True,bachelor,A,False,0.005306253240530462
2750,x1515d,male,29,Dutch,Football,60,False,False,False,False,1,False,master,C,True,0.6117910594363609
1735,x9702g,male,29,Belgian,Football,61,False,False,False,False,1,False,bachelor,B,False,0.01493627024375387
2577,x1931d,male,30,Belgian,Football,57,False,False,True,False,1,False,master,C,True,0.7765439691933878
901,x7534f,male,28,Dutch,Cricket,57,False,False,False,False,1,False,bachelor,A,False,0.40953226355844846
1962,x5103e,male,30,Dutch,Golf,67,False,True,True,False,0,True,phd,B,False,3.1241308950099405e-05
1055,x5574c,female,21,Dutch,Tennis,63,False,False,False,False,1,True,bachelor,B,False,0.019717693630258992
1054,x8602e,male,29,Dutch,Tennis,67,True,False,False,True,3,True,bachelor,B,True,0.8502092253192998
1145,x5344d,male,27,Dutch,Football,66,False,False,False,True,2,True,bachelor,B,False,0.5048947835274022
2191,x6644b,female,28,German,Chess,70,False,True,False,False,0,True,master,C,False,0.017180026525166158
3415,x3023f,male,22,Belgian,Tennis,75,True,True,False,True,2,True,master,D,True,0.8645467150579091
2070,x6920c,female,27,German,Chess,68,False,False,False,False,1,True,master,C,True,0.395339756371069
1013,x7135d,male,27,Dutch,Cricket,71,False,True,False,False,1,True,bachelor,B,False,0.011024341262314894
3545,x2247a,female,30,Dutch,Golf,67,False,True,True,False,1,True,master,D,True,0.8251435546925949
752,x2628d,other,27,Dutch,Football,54,True,False,False,True,3,False,master,A,False,0.24799460130399478
1709,x6176d,male,23,Belgian,Tennis,68,True,True,False,False,2,True,bachelor,B,True,0.3223734743871854
521,x5018e,male,29,Dutch,Rugby,57,False,False,False,False,1,False,bachelor,A,True,0.46348038450532253
2349,x7058d,male,28,Belgian,Football,50,True,False,False,True,3,False,bachelor,C,False,0.003208342727212067
229,x3179f,female,23,Dutch,Swimming,59,False,False,False,False,1,False,bachelor,A,True,0.47593480994135723
1262,x7994c,male,24,Dutch,Rugby,51,False,False,True,False,2,False,master,B,True,0.5745998881845781
2954,x3161d,male,28,Dutch,Football,67,False,True,False,True,1,True,bachelor,C,False,0.0052040995369832
242,x4685d,female,23,Dutch,Chess,61,False,True,True,False,0,True,master,A,False,0.008739775202535913
2264,x2908g,male,24,Belgian,Football,54,False,False,False,False,2,False,bachelor,C,False,0.03862757129615677
3431,x2035d,female,28,Dutch,Chess,74,False,True,True,False,0,True,phd,D,False,0.33234037950281886
2288,x7333a,male,25,Dutch,Tennis,65,False,False,False,False,1,True,bachelor,C,False,0.010100424286499913
57,x6281a,male,25,German,Football,52,False,False,False,False,1,False,master,A,False,0.35424411224569713
3298,x6929e,other,29,Dutch,Rugby,59,False,False,False,False,1,False,master,D,False,0.007251028662714024
12,x4044c,female,27,German,Football,62,False,True,False,False,1,True,bachelor,A,False,0.05460516928017512
2100,x9534d,male,24,Dutch,Football,52,True,False,False,False,2,False,bachelor,C,False,0.01769338413185711
2043,x9794a,female,21,Dutch,Chess,75,False,True,True,False,2,True,master,C,True,0.9099962161418178
3629,x2191g,female,28,Dutch,Swimming,73,False,True,False,False,1,True,master,D,True,0.9663424458658136
2563,x7529b,female,26,Dutch,Cricket,71,False,True,True,False,2,True,phd,C,True,0.9861984691185014
1805,x4355e,female,25,Dutch,Chess,66,False,True,False,False,1,True,bachelor,B,False,0.005121919527297796
63,x7200f,male,32,Dutch,Rugby,68,False,False,False,False,1,True,master,A,True,0.735133052872901
945,x8429d,female,28,Dutch,Cricket,60,False,False,True,False,0,False,master,A,False,0.02763324873175797
3392,x7604a,male,30,Dutch,Football,62,True,False,True,True,3,False,master,D,False,0.22452476177416053
686,x4690e,male,28,Dutch,Tennis,57,True,False,True,True,3,False,master,A,True,0.8947536218839586
730,x2315b,male,25,Dutch,Rugby,51,True,False,False,True,2,False,master,A,False,0.48572483574861486
2681,x7306c,male,24,Dutch,Tennis,59,False,False,False,False,1,True,bachelor,C,False,0.0036416517884059352
1479,x2163c,male,32,Dutch,Cricket,56,False,False,False,False,1,False,bachelor,B,False,0.011605224177025232
3673,x6434f,male,25,Belgian,Rugby,59,False,False,False,False,2,False,bachelor,D,False,0.010249544311647266
258,x2198e,male,28,Dutch,Tennis,64,False,False,False,False,2,True,master,A,True,0.9211035452838902
3219,x4645c,female,28,Dutch,Rugby,68,False,True,True,True,1,False,phd,D,True,0.9076933780240247
1378,x3397b,male,31,German,Golf,57,False,False,True,False,0,False,phd,B,False,5.703679942701871e-05
2322,x5976a,male,24,Dutch,Rugby,55,False,False,False,False,2,False,master,C,False,0.4430774539145087
598,x6635g,female,28,Dutch,Tennis,68,True,True,False,True,2,True,bachelor,A,False,0.14837853390533673
785,x6575a,female,28,Dutch,Golf,58,False,False,False,False,1,False,master,A,True,0.5454307027658438
2252,x1689b,male,24,Dutch,Football,51,False,False,False,False,2,False,master,C,True,0.14966115537000865
463,x7065d,male,30,Dutch,Rugby,54,True,False,False,False,2,False,master,A,False,0.7700777413585704
2856,x1547e,female,21,Dutch,Chess,72,False,True,True,False,0,True,master,C,False,0.10565482874907237
2333,x1128a,other,26,Dutch,Rugby,59,True,False,False,True,2,False,bachelor,C,False,0.09351540310630947
1882,x8676g,male,32,Dutch,Swimming,59,False,False,True,False,1,False,master,B,False,0.010627600348819587
702,x3984f,female,26,German,Cricket,59,False,False,True,False,0,False,master,A,False,0.02805408249057437
1592,x4602b,male,27,Dutch,Football,52,True,False,True,False,2,False,phd,B,False,0.6059516414334108
3582,x9576b,male,25,Belgian,Rugby,54,False,False,True,False,2,False,master,D,False,0.006937280299839515
3542,x8796b,other,23,Dutch,Chess,73,False,True,True,False,1,True,master,D,True,0.9684127330208993
2868,x9098d,male,27,Dutch,Rugby,63,False,False,False,True,2,False,bachelor,C,False,0.31245390535413253
3731,x7213a,male,27,German,Football,64,True,False,False,True,3,False,master,D,False,0.09339768405979237
946,x5794g,male,25,German,Football,55,True,False,False,False,3,False,master,A,True,0.41486018630498406
352,x5779f,male,28,German,Football,68,True,False,False,True,3,False,master,A,True,0.9843301745912446
1725,x3742f,male,27,Dutch,Football,55,False,False,False,False,2,False,bachelor,B,True,0.4882917996615396
3940,x9463e,male,28,Belgian,Rugby,54,True,False,False,False,2,False,bachelor,D,False,0.0016446489613312723
1156,x2224f,male,27,Belgian,Rugby,60,False,False,False,False,1,True,bachelor,B,False,0.00973724456970729
3592,x7320e,female,24,Dutch,Tennis,71,False,True,False,False,1,True,master,D,True,0.8197613294057867
